Year,Location,Download,Upload,UMR,PersentasePenggunaInternet,JumlahPenduduk
2020,Aceh,10.2,4.8,2916810,71.97,5388100
2020,Bali,11.6,6.90,2297969,85.67,4414400
2020,Bangka Belitung,10.6,4.5,2976706,78.35,1469800
2020,Banten,10.4,4.9,2267990,84.07,12895300
2020,Bengkulu,9.5,4.4,2040407,71.69,1994300
2020,Jawa Tengah,9.6,5.1,1605396,79.66,34738200
2020,Kalimantan Tengah,11.00,7.1,2663435,76.57,2686300
2020,Sulawesi Tengah,13.6,4.8,2123040,68.7,3081700
2020,Jawa Timur,11.3,5.5,1630059,77.21,39955900
2020,Kalimantan Timur,13.2,7,2747561,86.87,3664700
2020,Nusa Tenggara Timur,12.7,8.3,1795000,56.87,5513400
2020,Gorontalo,11.3,4.6,2384020,76.98,1186300
2020,Jakarta,10.2,4.8,3940973,93.24,10576400
2020,Jambi,10.1,5,2423889,75.56,3604200
2020,Lampung,10.4,5.1,2241270,74.09,8534800
2020,Maluku,17.9,5,2400664,65.86,1787100
2020,Kalimantan Utara,15,5.8,2765463,86.58,708400
2020,Maluku Utara,11.2,4.3,2508091,62.39,1252300
2020,Sulawesi Utara,12,4.5,3051076,78.5,2512900
2020,Papua,17.3,5.6,3240900,35.25,3393100
2020,Riau,12.4,6.5,2662026,80.61,6951200
2020,Kepulauan Riau,10.2,4.9,2769754,91.15,2309500
2020,Sulawesi Tenggara,12.9,5.3,2351870,75.87,2703500
2020,Kalimantan Selatan,10.1,6.7,2651782,78.64,4268600
2020,Sumatera Selatan,10.5,5,2860382,74.85,8600800
2020,DIY Yogyakarta,10.7,5.4,1570923,85.83,3919200
2020,Jawa Barat,10.5,5,1668373,82.18,49565200
2020,Kalimantan Barat,10.6,6,2211500,70.44,5104900
2020,Nusa Tenggara Barat,12.7,6.4,2012610,69.51,5225900
2020,Papua Barat,19.2,6.3,2934500,72.62,986000
2020,Sulawesi Barat,12,4.7,2381000,66.03,1378100
2020,Sumatera Barat,9.2,4.7,2289220,74.62,5545700
2020,Sulawesi Selatan,11.7,5,2860382,77.23,8888800
2020,Sumatera Utara,12.01,5.9,2303403,74.12,14798400
2021,Aceh,20.59,5.31,3160000,75.54,5334000
2021,Bali,24.71,16.98,2494000,87.8,4363000
2021,Bangka Belitung,19.17,7.02,3230023,82.89,1473000
2021,Banten,21.3,8.08,4230792,87.45,12061000
2021,Bengkulu,17.74,4.77,2215000,78.03,2033000
2021,Jawa Tengah,17.55,6.45,1813011,82.88,36743000
2021,Kalimantan Tengah,20.31,6.64,2903144,80.27,2702000
2021,Sulawesi Tengah,16.76,4.64,2303711,76.51,3022000
2021,Jawa Timur,17.05,6.53,1868777,79.66,40879000
2021,Kalimantan Timur,20.14,6.43,2981378,89.67,3808000
2021,Nusa Tenggara Timur,19.43,5.82,1950000,68.45,5388000
2021,Gorontalo,17.74,5.35,2586900,80.89,1181000
2021,Jakarta,24.12,13.37,4416186,95.44,10610000
2021,Jambi,18.59,5.87,2630162,80.91,3585000
2021,Lampung,16.96,6.08,2400000,83.49,9082000
2021,Maluku,18.84,4.23,2604961,76.89,1863000
2021,Kalimantan Utara,19.7,6.46,3000803,88.02,714000
2021,Maluku Utara,19.63,5.06,2721530,69.43,1299000
2021,Sulawesi Utara,19.22,5.8,3310721,81.57,2639000
2021,Papua,19.55,6.21,3516700,35.26,4355000
2021,Riau,17.34,6.29,2888563,86.45,6494000
2021,Kepulauan Riau,18.71,8.86,3005383,93.79,2118000
2021,Sulawesi Tenggara,18.59,4.94,2552014,81.83,2659000
2021,Kalimantan Selatan,20.6,6.66,2903144,83.11,4123000
2021,Sumatera Selatan,19.69,8.24,3043111,80.95,8551000
2021,DIY Yogyakarta,17.89,7.5,1765608,86.88,3713000
2021,Jawa Barat,20.69,7.91,1810351,84.26,48782000
2021,Kalimantan Barat,19.97,6.1,2399698,79.23,5471000
2021,Nusa Tenggara Barat,18.36,5.6,2183883,73.61,5390000
2021,Papua Barat,18.36,5.6,3134600,74.08,1157000
2021,Sulawesi Barat,18.81,4.32,2571328,75.32,1437000
2021,Sumatera Barat,21.54,5.55,2484041,82.29,5580000
2021,Sulawesi Selatan,19.86,6.02,3165876,82.36,9140000
2021,Sumatera Utara,20.42,7.36,2499422,81.1,14936000
2022,Aceh,22.56,9.42,3116460,80.83,5380000
2022,Bali,29.46,24.54,2516971,93.95,4290000
2022,Bangka Belitung,21.76,13.58,3264884,88.69,1470000
2022,Banten,26.34,11.65,2501203,93.57,12150000
2022,Bengkulu,19.25,9.08,2238094,83.49,2050000
2022,Jawa Tengah,17.98,9.5,1812935,88.68,37490000
2022,Kalimantan Tengah,22.64,10.15,2922516,85.89,2670000
2022,Sulawesi Tengah,19.32,9.58,2390739,81.87,3070000
2022,Jawa Timur,18.83,8.77,1891567,85.24,41140000
2022,Kalimantan Timur,22.18,10.23,3014497,95.95,3890000
2022,Nusa Tenggara Timur,22.24,9.83,1975000,73.24,5510000
2022,Gorontalo,19.14,8.97,2800580,86.55,1200000
2022,Jakarta,28.86,17.55,4641854,97.26,11250000
2022,Jambi,19.8,9.79,2698940,86.57,3640000
2022,Lampung,17.61,9.5,2440486,89.33,8900000
2022,Maluku,20.03,9.53,2619312,82.27,1890000
2022,Kalimantan Utara,21.51,9.7,3016738,94.18,710000
2022,Maluku Utara,25.01,11.07,2862231,74.29,1340000
2022,Sulawesi Utara,15.72,8.96,3310723,87.28,2660000
2022,Papua,22.2,9.76,3561932,37.73,4360000
2022,Riau,19.93,9.62,2938564,92.50,6650000
2022,Kepulauan Riau,19.46,10.87,3050172,96.22,2100000
2022,Sulawesi Tenggara,18.57,9.03,2576016,87.56,2690000
2022,Kalimantan Selatan,23.72,10.4,2906473,88.93,4140000
2022,Sumatera Selatan,23.98,10.99,3144446,86.62,8650000
2022,DIY Yogyakarta,19.47,9.8,1840915,92.96,3680000
2022,Jawa Barat,25.08,11.39,1841487,90.16,48640000
2022,Kalimantan Barat,22.71,10.21,2434328,84.78,5480000
2022,Nusa Tenggara Barat,18.4,8.76,2207212,78.76,5470000
2022,Papua Barat,20.14,9.69,3200000,79.27,1160000
2022,Sulawesi Barat,18.03,8.49,2678863,80.59,1450000
2022,Sumatera Barat,21.84,8.87,2512539,88.05,5620000
2022,Sulawesi Selatan,21.38,10.41,3165876,88.13,9260000
2022,Sumatera Utara,16.05,9.66,2522609,86.78,15310000